colecc,linea,estilo,mater,color,descrip,habilitado
,,00012,AT,BL,00012 ATANADO BLANCO,F
,,00012,AT,NE,00012 ATANADO NEGRO,F
,,01306,AT,NE,01306 ATANADO NEGRO,F
,,05120,AT,AQ,05120 ATANADO AQUA,F
,,05136,AT,AE,05136 ATANADO ARENA,F
,,10708,AT,MK,10708 ATANADO MOKA,F
,,11806,AT,MK,11806 ATANADO MOKA,F
,,11806,AT,NE,11806 ATANADO NEGRO,F
,,11940,HN,CM,11940 HUNTING CAMELLO,F
,,11940,HN,NE,11940 HUNTING NEGRO,F
,,13006,AT,BE,13006 ATANADO BEIGE,F
,,13006,AT,MR,13006 ATANADO MARFIL,F
,,13006,AT,NE,13006 ATANADO NEGRO,F
,,13006,HN,AZ,13006 HUNTING A MEZCLILLA,F
,,13006,HN,CM,13006 HUNTING CAMELLO,F
,,19102,AT,AM,19102 ATANADO A MARINO,F
,,19102,AT,BE,19102 ATANADO BEIGE,F
,,19102,AT,CM,19102 ATANADO CAMELLO,F
,,19102,AT,MK,19102 ATANADO MOKA,F
,,19102,AT,NE,19102 ATANADO NEGRO,F
,,19102,AT,RO,19102 ATANADO ROJO,F
,,19102,AT,VI,19102 ATANADO VINO,F
,,19102,HN,AE,19102 HUNTING ARENA,F
,,19102,HN,AM,19102 HUNTING A MARINO,F
,,19102,HN,CA,19102 HUNTING CAFE,F
,,19102,HN,CM,19102 HUNTING CAMELLO,F
,,19102,HN,NE,19102 HUNTING NEGRO,F
,,19102,HN,RO,19102 HUNTING ROJO,F
,,19103,AT,AM,19103 ATANADO A MARINO,F
,,19103,AT,BE,19103 ATANADO BEIGE,F
,,19103,AT,CM,19103 ATANADO CAMELLO,F
,,19103,AT,MK,19103 ATANADO MOKA,F
,,19103,AT,NE,19103 ATANADO NEGRO,F
,,19103,AT,RO,19103 ATANADO ROJO,F
,,19103,AT,VI,19103 ATANADO VINO,F
,,19103,HN,AE,19103 HUNTING ARENA,F
,,19103,HN,AM,19103 HUNTING A MARINO,F
,,19103,HN,CA,19103 HUNTING CAFE,F
,,19103,HN,CM,19103 HUNTING CAMELLO,F
,,19103,HN,NE,19103 HUNTING NEGRO,F
,,19103,HN,RO,19103 HUNTING ROJO,F
,,19104,AT,AM,19104 ATANADO A MARINO,F
,,19104,AT,BE,19104 ATANADO BEIGE,F
,,19104,AT,CM,19104 ATANADO CAMELLO,F
,,19104,AT,MK,19104 ATANADO MOKA,F
,,19104,AT,NE,19104 ATANADO NEGRO,F
,,19104,AT,RO,19104 ATANADO ROJO,F
,,19104,AT,VI,19104 ATANADO VINO,F
,,19104,HN,AE,19104 HUNTING ARENA,F
,,19104,HN,AM,19104 HUNTING A MARINO,F
,,19104,HN,CA,19104 HUNTING CAFE,F
,,19104,HN,CM,19104 HUNTING CAMELLO,F
,,19104,HN,NE,19104 HUNTING NEGRO,F
,,19104,HN,RO,19104 HUNTING ROJO,F
,,19105,AT,AM,19105 ATANADO A MARINO,F
,,19105,AT,BE,19105 ATANADO BEIGE,F
,,19105,AT,CM,19105 ATANADO CAMELLO,F
,,19105,AT,MK,19105 ATANADO MOKA,F
,,19105,AT,NE,19105 ATANADO NEGRO,F
,,19105,AT,RO,19105 ATANADO ROJO,F
,,19105,AT,VI,19105 ATANADO VINO,F
,,19105,HN,AE,19105 HUNTING ARENA,F
,,19105,HN,AM,19105 HUNTING A MARINO,F
,,19105,HN,CA,19105 HUNTING CAFE,F
,,19105,HN,CM,19105 HUNTING CAMELLO,F
,,19105,HN,NE,19105 HUNTING NEGRO,F
,,19105,HN,RO,19105 HUNTING ROJO,F
,,19107,ME,AZ,19107 MEZCLILLA A MEZCLILLA,F
,,19109,AT,NE,19109 ATANADO NEGRO,F
,,20201,AT,AM,20201 ATANADO A MARINO,F
,,20201,AT,MK,20201 ATANADO MOKA,F
,,20201,AT,NE,20201 ATANADO NEGRO,F
,,20201,AT,VI,20201 ATANADO VINO,F
,,20202,AT,AM,20202 ATANADO A MARINO,F
,,20202,AT,BE,20202 ATANADO BEIGE,F
,,20202,AT,CM,20202 ATANADO CAMELLO,F
,,20202,AT,MK,20202 ATANADO MOKA,F
,,20202,AT,NE,20202 ATANADO NEGRO,F
,,20202,AT,RO,20202 ATANADO ROJO,F
,,20202,AT,VI,20202 ATANADO VINO,F
,,20202,HN,AE,20202 HUNTING ARENA,F
,,20202,HN,AM,20202 HUNTING A MARINO,F
,,20202,HN,CA,20202 HUNTING CAFE,F
,,20202,HN,CM,20202 HUNTING CAMELLO,F
,,20202,HN,NE,20202 HUNTING NEGRO,F
,,20202,HN,RO,20202 HUNTING ROJO,F
,,20203,AT,AM,20203 ATANADO A MARINO,F
,,20203,AT,BE,20203 ATANADO BEIGE,F
,,20203,AT,CM,20203 ATANADO CAMELLO,F
,,20203,AT,MK,20203 ATANADO MOKA,F
,,20203,AT,NE,20203 ATANADO NEGRO,F
,,20203,AT,RO,20203 ATANADO ROJO,F
,,20203,AT,VI,20203 ATANADO VINO,F
,,20203,HN,AE,20203 HUNTING ARENA,F
,,20203,HN,AM,20203 HUNTING A MARINO,F
,,20203,HN,CA,20203 HUNTING CAFE,F
,,20203,HN,CM,20203 HUNTING CAMELLO,F
,,20203,HN,NE,20203 HUNTING NEGRO,F
,,20203,HN,RO,20203 HUNTING ROJO,F
,,20204,AT,AM,20204 ATANADO A MARINO,F
,,20204,AT,BE,20204 ATANADO BEIGE,F
,,20204,AT,CM,20204 ATANADO CAMELLO,F
,,20204,AT,MK,20204 ATANADO MOKA,F
,,20204,AT,NE,20204 ATANADO NEGRO,F
,,20204,AT,RO,20204 ATANADO ROJO,F
,,20204,AT,VI,20204 ATANADO VINO,F
,,20204,HN,AE,20204 HUNTING ARENA,F
,,20204,HN,AM,20204 HUNTING A MARINO,F
,,20204,HN,CA,20204 HUNTING CAFE,F
,,20204,HN,CM,20204 HUNTING CAMELLO,F
,,20204,HN,NE,20204 HUNTING NEGRO,F
,,20204,HN,RO,20204 HUNTING ROJO,F
,,20205,AT,AM,20205 ATANADO A MARINO,F
,,20205,AT,BE,20205 ATANADO BEIGE,F
,,20205,AT,CM,20205 ATANADO CAMELLO,F
,,20205,AT,MK,20205 ATANADO MOKA,F
,,20205,AT,NE,20205 ATANADO NEGRO,F
,,20205,AT,RO,20205 ATANADO ROJO,F
,,20205,AT,VI,20205 ATANADO VINO,F
,,20205,HN,AE,20205 HUNTING ARENA,F
,,20205,HN,AM,20205 HUNTING A MARINO,F
,,20205,HN,CA,20205 HUNTING CAFE,F
,,20205,HN,CM,20205 HUNTING CAMELLO,F
,,20205,HN,NE,20205 HUNTING NEGRO,F
,,20205,HN,RO,20205 HUNTING ROJO,F
,,20206,AT,AM,20206 ATANADO A MARINO,F
,,20206,AT,BE,20206 ATANADO BEIGE,F
,,20206,AT,CM,20206 ATANADO CAMELLO,F
,,20206,AT,MK,20206 ATANADO MOKA,F
,,20206,AT,NE,20206 ATANADO NEGRO,F
,,20206,AT,RO,20206 ATANADO ROJO,F
,,20206,AT,VI,20206 ATANADO VINO,F
,,20206,HN,AE,20206 HUNTING ARENA,F
,,20206,HN,AM,20206 HUNTING A MARINO,F
,,20206,HN,CA,20206 HUNTING CAFE,F
,,20206,HN,CM,20206 HUNTING CAMELLO,F
,,20206,HN,NE,20206 HUNTING NEGRO,F
,,20206,HN,RO,20206 HUNTING ROJO,F
,,20207,AT,AM,20207 ATANADO A MARINO,F
,,20207,AT,BE,20207 ATANADO BEIGE,F
,,20207,AT,CM,20207 ATANADO CAMELLO,F
,,20207,AT,MK,20207 ATANADO MOKA,F
,,20207,AT,NE,20207 ATANADO NEGRO,F
,,20207,AT,RO,20207 ATANADO ROJO,F
,,20207,AT,VI,20207 ATANADO VINO,F
,,20207,HN,AE,20207 HUNTING ARENA,F
,,20207,HN,AM,20207 HUNTING A MARINO,F
,,20207,HN,CA,20207 HUNTING CAFE,F
,,20207,HN,CM,20207 HUNTING CAMELLO,F
,,20207,HN,NE,20207 HUNTING NEGRO,F
,,20207,HN,RO,20207 HUNTING ROJO,F
,,20208,AT,AM,20208 ATANADO A MARINO,F
,,20208,AT,MK,20208 ATANADO MOKA,F
,,20208,AT,NE,20208 ATANADO NEGRO,F
,,23203,AT,AM,23203 ATANADO A MARINO,F
,,23203,AT,AV,23203 ATANADO AVELLANA,F
,,23203,AT,CM,23203 ATANADO CAMELLO,F
,,23203,AT,CT,23203 ATANADO CASTOR,F
,,23203,AT,MK,23203 ATANADO MOKA,F
,,23203,AT,MR,23203 ATANADO MARFIL,F
,,23203,AT,NE,23203 ATANADO NEGRO,F
,,24206,HN,CM,24206 HUNTING CAMELLO,F
,,24207,HN,CM,24207 HUNTING CAMELLO,F
,,25502,PV,AC,25502 PVC A CIELO,F
,,25502,PV,GR,25502 PVC GRIS,F
,,25502,PV,RO,25502 PVC ROJO,F
,,25702,PV,PL,25702 PVC PLATA,F
,,25702,SY,BL,25702 SYN BLANCO,F
,,25702,SY,PL,25702 SYN PLATA,F
,,26206,HN,AE,26206 HUNTING ARENA,F
,,26206,HN,AM,26206 HUNTING A MARINO,F
,,26206,HN,AV,26206 HUNTING AVELLANA,F
,,26206,HN,AZ,26206 HUNTING A MEZCLILLA,F
,,26206,HN,CM,26206 HUNTING CAMELLO,F
,,26206,HN,GR,26206 HUNTING GRIS,F
,,26206,HN,NA,26206 HUNTING NARANJA,F
,,26206,HN,NE,26206 HUNTING NEGRO,F
