colecc,linea,estilo,mater,color,descrip,habilitado
OTIN12,ABY 2,13681,GA,CC,13681 GAMUZA CHOCOLATE,T
OTIN12,ABY 2,13681,GA,NE,13681 GAMUZA NEGRO,T
OTIN12,ABY 2,13681,GA,VI,13681 GAMUZA VINO,T
OTIN13,GELLY USA,P5016,PI,TU,P5016 PIEL TAUPE,T
OTIN13,GELLY USA,P5017,PI,NE,P5017 PIEL NEGRO,T
OTIN13,PIEDRA,P5012,PI,TU,P5012 PIEL TAUPE,T
OTIN13,ROCKSTAR,P5010,PI,TU,P5010 PIEL TAUPE,T
OTIN14,BICKER,P5037,PI,CA,P5037 PIEL CAFE,T
OTIN14,BICKER,P5038,PI,NE,P5038 PIEL NEGRO,T
OTIN14,BIS USA,P5042,PI,CG,P5042 PIEL COGNAC,T
OTIN14,BIS USA,P5067,PI,CG,P5067 PIEL COGNAC,T
OTIN14,BIS USA,PB018,PI,CG,PB018 PIEL COGNAC,T
OTIN14,CHABELAUSA,P5018,PI,CG,P5018 PIEL COGNAC,T
OTIN14,CHABELAUSA,PB002,PI,TU,PB002 PIEL TAUPE,T
OTIN14,GELLY USA,P5043,PI,NE,P5043 PIEL NEGRO,T
OTIN14,GELLY USA,P5078,PI,CG,P5078 PIEL COGNAC,T
OTIN14,GELLY USA,P5079,PI,NE,P5079 PIEL NEGRO,T
OTIN14,GELLY USA,PB004,PI,CG,PB004 PIEL COGNAC,T
OTIN14,GELLY USA,PB012,PI,TU,PB012 PIEL TAUPE,T
OTIN14,JANGO,P5007,PI,CA,P5007 PIEL CAFE,T
OTIN14,STA,P5036,PI,TU,P5036 PIEL TAUPE,T
OTIN14,STA,P5056,PI,CA,P5056 PIEL CAFE,T
OTIN14,STA,PB003,PI,TU,PB003 PIEL TAUPE,T
OTIN14,STO,P5044,PI,NE,P5044 PIEL NEGRO,T
OTIN14,STO,P5045,PI,NE,P5045 PIEL NEGRO,T
OTIN14,STO,P5099,PI,NE,P5099 PIEL NEGRO,T
OTIN14,STO,P5100,PI,CA,P5100 PIEL CAFE,T
OTIN14,TROPA USA,P5069,PI,CG,P5069 PIEL COGNAC,T
OTIN14,TROPA USA,P5070,PI,NE,P5070 PIEL NEGRO,T
OTIN14,TROPA USA,P5076,PI,CG,P5076 PIEL COGNAC,T
OTIN15,ALPES,12647,SI,CM,12647 SINTETICO CAMELLO,T
OTIN15,BIS USA,PB020,PJ,VI,PB020 PIEL JENNA VINO,T
OTIN15,FRESA,10673,EP,PL,10673 ESPEJO PLATA,T
OTIN15,GELLY USA,P5102,PJ,CA,P5102 PIEL JENNA CAFE,T
OTIN15,GELLYCUERO,PB019,PI,NE,PB019 PIEL NEGRO,T
