vcestil,vcmater,vccolor,estilo-mat-col,programa,asignado,fpespunte,qfpespu,fmontado,qfmonta,totpares
18661,PC,BE,18661PCBE,27/11/2015,1,  -   -,0,18/01/2016,1,445
10303,SI,CA,10303SICA,04/12/2015,6,  -   -,0,05/01/2016,1,98
10303,SI,NE,10303SINE,04/12/2015,6,  -   -,0,05/01/2016,1,120
10303,SI,CA,10303SICA,08/12/2015,6,  -   -,0,07/01/2016,1,200
10303,SI,NE,10303SINE,08/12/2015,6,  -   -,0,07/01/2016,1,200
10302,PI,NE,10302PINE,11/12/2015,26,  -   -,0,05/01/2016,1,110
10302,PI,RS,10302PIRS,11/12/2015,26,  -   -,0,05/01/2016,1,120
12647,VB,NE,12647VBNE,11/12/2015,2,  -   -,0,06/01/2016,1,652
12647,VB,TU,12647VBTU,11/12/2015,2,  -   -,0,07/01/2016,1,236
18661,AT,NE,18661ATNE,14/12/2015,1,  -   -,0,11/01/2016,1,847
10290,TX,FI,10290TXFI,15/12/2015,5,  -   -,0,08/01/2016,1,200
10290,TX,NE,10290TXNE,15/12/2015,5,  -   -,0,08/01/2016,1,200
18661,AT,NE,18661ATNE,15/12/2015,1,  -   -,0,21/01/2016,1,492
18661,PC,NE,18661PCNE,15/12/2015,1,  -   -,0,21/01/2016,1,199
10302,PI,NE,10302PINE,16/12/2015,6,  -   -,0,11/01/2016,1,300
10302,PI,RS,10302PIRS,16/12/2015,6,  -   -,0,11/01/2016,1,200
18661,PC,NE,18661PCNE,16/12/2015,1,  -   -,0,30/01/2016,1,986
SAYZA,MZ,NE,SAYZAMZNE,17/12/2015,12,  -   -,0,05/01/2016,1,39
10291,CH,AL,10291CHAL,18/12/2015,2,  -   -,0,13/01/2016,1,300
10291,CH,RO,10291CHRO,18/12/2015,2,  -   -,0,13/01/2016,1,300
18661,PC,BE,18661PCBE,18/12/2015,1,  -   -,0,19/01/2016,1,523
10302,PI,NE,10302PINE,21/12/2015,6,  -   -,0,18/01/2016,1,300
10302,PI,RS,10302PIRS,21/12/2015,6,  -   -,0,18/01/2016,1,200
